NUM_BANKCARD_QUERIES_LAST_6_MO,S207A,CO06S,TK0901,SCRG063,AT01S,AT20S,RVLR03,BC101S,G980S,BKUTIL,IQT9421,REH5030,CAMPAIGN_ID,CAMPAIGN_SUB_CD,UNDRWRTE_STRAT_IN,CRED_BUREAU_LOC_CD,FICO_SCORE,FICO_FACTOR_1,CRED_SCORE_1,RISK_SCORE_1,RISK_SCORE_1_FACTOR_1,CRED_SCORE_2,RISK_SCORE_2,INMARKET_IN,UNDER18_IN,DECEASED_IN,FROZEN_CREDRPT_IN,BANK_ACCT_CD,EXTEND_FRAUD_ALERT_IN,OLLO_OPEN_ACCT_CT,RECENT_APPL_IN,ATP_MAX_CREDIT_LINE,FAILED_ATP_IN,BUREAU_ERROR_CD,CONSUMER_STMT_TYPE_IN,BUREAU_MSG_CD_LIST,FRAUD_SHIELD_TYPE_LIST,DECISION_CD,CREDIT_LINE_AMT,CASH_LINE_AMT,LTR_TEMPLATE_ID,ADVERSE_ACT_RSN_1,ADVERSE_ACT_RSN_2,ADVERSE_ACT_RSN_3,ADVERSE_ACT_RSN_4,POLICY_RULES_USED,POST_BUR_RND_NUM_1,VANTAGE_SCORE,ALL0100,ALL0300,ALL2356,ALL5020,ALL5030,ALL5045,ALL5301,ALL5830,ALL8164,ALL8220,ALL9210,ALL9220,BCA5020,BCC0416,BCC5030,BCC7140,IQB9416,MTA5830,FIP5020,TU_VANTAGE_3,TU_VANT_3_FACTOR_1,TU_VANT_3_FACTOR_2,TU_VANT_3_FACTOR_3,TU_VANT_3_FACTOR_4,TU_VANT_3_FACTOR_5,TU_STATUS,LN_STATUS,CUST_MOD_3_FIN_SCR,CUST_MOD_3_FIN_SCR_DEC,CUST_MOD_3_TIMEOUT,CUST_MOD_3_ERROR,CUST_MOD_4_FIN_SCR,CUST_MOD_4_FIN_SCR_DEC,CUST_MOD_4_TIMEOUT,CUST_MOD_4_ERROR,CUST_MOD_6_FIN_SCR,CUST_MOD_6_FIN_SCR_DEC,CUST_MOD_6_TIMEOUT,CUST_MOD_6_ERROR,CUST_MOD_7_FIN_SCR,CUST_MOD_7_FIN_SCR_DEC,CUST_MOD_7_TIMEOUT,CUST_MOD_7_ERROR,CUST_MOD_3_FIN_SCR_RANKED_AR,CUST_MOD_6_FIN_SCR_RANKED_AR,SSNAWF3Y,TFRAA6M,TFRAA1Y,TFRANDOB2Y,TFRANDOB3Y,TFRANDOB6M,TFRANDOB1Y,IDFS
1,16,-1,-2,0,24,115,0,-5,-4,0,0,749,23,2,6,5,653,38,630,8,18,648,9,Y,N,N,N,1,N,0,N,87727,N,,,57,21,A,300,90,,,,,,A003,75,0,23,22,0,749,749,0,0,31,9996,98,18,18,999999997,0,999999997,997,1,999999998,999999998,664,98,47,14,12,2,Y,,5.452141762,4,N,N,4.176766396,3,N,N,0,448,,,0,448,,,,,FALSE,0,0,0,0,0,0,725
3,22,-1,-2,0,6,129,434,434,-4,87,0,423,23,3,6,5,630,38,591,10,18,678,8,Y,N,N,N,2,N,0,N,61688,N,,,57,21,A,300,90,,,,,,A003,21,0,6,6,0,423,423,0,0,25,9996,129,24,24,423,1,423,94,0,999999998,999999998,589,98,15,4,8,1,Y,,10.86013126,6,N,N,11.05003357,6,N,N,0,448,,,0,448,,,2049      2016      2107      2116,,FALSE,0,0,0,0,0,0,664
0,27,-1,-3,0,18,182,3329,3329,3,95,0,7672,95,5,8,5,665,38,693,4,1032,742,4,Y,N,N,N,1,N,0,N,149513,N,,,57,21,A,2100,630,,,,,,A003,584,692,16,15,0,29580,32300,0,0,903,9996,182,48,48,3329,1,3329,95,0,999999998,999999998,691,98,14,12,34,2,Y,,4.531778336,3,N,N,2.695551872,2,N,N,0,448,,,1.894633293,448,N,N,,,FALSE,0,0,0,0,0,0,579
0,38,-1,-2,0,11,193,12095,12666,0,90,0,12717,23,2,6,5,624,38,655,7,P6,707,6,Y,N,N,N,2,N,0,N,43506,N,,,57,21,D,0,0,1002,1018,,,,1018,216,0,14,12,2,19912,19912,1853,0,860,9996,302,79,79,12717,4,12717,91,0,999999997,999999998,609,98,32,14,34,2,Y,,5.54883194,4,N,N,4.838147163,3,N,N,0,448,,,0,448,,,,,,,,,,,,0
0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,6,,0,,0,0,,0,0,,,,,2,,0,Y,0,,,,,,D,0,0,1001,1004,,,,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,0
1,19,-1,-3,0,8,271,453,1076,-4,34,0,1076,23,2,6,5,643,38,653,7,34,706,7,Y,N,N,N,1,N,0,N,-28279,N,,,57,,D,0,0,1002,1018,,,,1018,680,0,21,19,1,1076,1076,517,0,59,9996,271,47,47,1076,2,1076,34,2,999999997,999999998,608,98,15,61,95,1,Y,,7.058263779,4,N,N,9.226659775,5,N,N,0,448,,,0,448,,,2034      2107,,,,,,,,,0
0,6,-1,-2,0,24,133,659,659,-4,94,0,659,23,3,6,5,655,38,656,7,18,725,5,Y,N,N,N,1,N,0,N,97013,N,,,57,2,A,1200,360,,,,,,A003,157,0,24,22,0,659,659,0,0,33,9996,128,10,10,659,1,659,94,0,999999998,999999997,673,98,14,12,30,2,Y,,6.141839981,4,N,N,8.071084976,5,N,N,0,448,,,0,448,,,2034      2059,,FALSE,0,0,0,0,0,0,584
2,-1,-2,-3,0,22,148,0,-2,0,0,2,1429,22,4,6,5,672,38,637,8,34,682,8,Y,N,N,N,1,N,0,N,269968,N,,,57,21,D,0,0,1002,2105,2123,2033,2016,1060,462,0,29,12,0,22230,22230,0,0,502,57,294,112,112,999999997,0,999999997,997,1,999999998,999999998,628,98,47,14,12,2,Y,,14.66944027,7,N,N,12.91292858,6,N,N,0,448,,,0,448,,,2105      2123      2033      2016,,,,,,,,,0
0,28,-1,-2,0,16,164,2436,2436,3,98,0,3888,95,7,8,5,632,38,673,6,D2,720,6,Y,N,N,N,1,N,0,N,131006,N,,,57,10321,A,900,270,,,,,,A003,869,675,17,16,0,5122,5122,0,0,1398,9996,164,34,34,1483,1,1483,59,0,999999997,999999998,671,98,14,12,4,2,Y,,9.528721809,5,N,N,8.56611824,5,N,N,0,448,,,11.11422443,448,N,N,2018      2049      2120      2060,,FALSE,0,0,0,0,0,0,620
5,31,-1,-2,0,36,190,0,3784,2,69,0,7971,95,5,8,5,643,38,656,7,P6,760,3,Y,N,N,N,1,N,0,N,141039,N,,,57,21,A,2400,720,,,,,,A003,344,675,36,36,0,505339,505339,0,0,5205,9996,190,33,33,3784,3,3784,65,2,2206,6415,669,98,14,15,12,2,Y,,4.864187241,3,N,N,3.709012032,3,N,N,0,448,,,4.357819557,448,N,N,,,FALSE,0,0,0,0,0,0,611
